token,count
i,330
o,253
centrum,134
z,121
instytutu,121
sp,114
of,109
s,105
a,99
pan,99
instytut,95
university,90
rozwoju,75
rady,66
nauk,65
uniwersytetu,64
polskiego,59
ds,57
wydziału,57
polska,56
rp,54
ochrony,53
komisji,51
badań,48
uniwersytet,47
polskiej,47
akademii,46
środowiska,44
ministerstwa,43
katedry,41
instytucie,39
wydziale,38
muzeum,37
w,37
kultury,36
ministerstwo,36
politechniki,35
towarzystwa,35
spraw,34
polskie,34
europejskiej,34
urząd,34
instytutem,32
radio,32
laboratorium,32
stowarzyszenie,31
sa,31
narodowego,31
urzędu,30
stowarzyszenia,29
pib,29
im,29
europejskiego,28
fundacji,28
związku,27
technologii,27
edukacji,27
miasta,26
international,26
research,26
polskim,25
polski,24
inżynierii,24
for,24
teatr,23
zdrowia,23
nauki,23
the,22
agencji,22
województwa,22
fundacja,22
institute,22
towarzystwo,22
european,22
szkoły,22
national,21
komitetu,21
grupy,21
historii,21
and,21
uj,21
pracy,20
rada,19
społecznej,19
chemii,19
wydział,19
katedrze,19
grupa,18
fizyki,18
policji,18
szkoła,18
matematyki,18
group,18
bezpieczeństwa,18
sztuki,18
de,18
krajowej,18
umcs,17
pl,17
pracowni,17
sieci,17
uw,17
agencja,17
narodowej,17
urzędem,16
na,16
uniwersytecie,16
zakład,16
bank,16
pedagogiki,16
polityki,16
association,16
zakładu,16
fundacją,15
state,15
organizacji,15
biura,15
tvp,15
informatyki,15
zespół,15
szczecin,14
akademia,14
komisja,14
krakowskiej,14
funduszu,14
europejską,14
ośrodek,14
ministerstwie,14
radzie,14
fundację,14
zakładzie,14
polską,14
zespołu,13
politechnice,13
uniwersytetem,13
administracji,13
biuro,13
komitet,13
międzynarodowej,13
danych,13
katedra,13
praw,13
uwr,13
ue,13
ukw,13
umk,13
sportu,13
biologii,13
biblioteki,12
rolnictwa,12
e,12
zarządzania,12
radę,12
ministerstwem,12
zagranicznych,12
unii,12
prawa,12
ośrodka,12
polskich,12
center,12
agencję,12
szkole,12
pw,12
sił,12
uksw,12
science,12
teatru,12
radia,11
studio,11
poland,11
rzecz,11
narodowym,11
dialogu,11
departamentu,11
obrony,11
technologies,11
gospodarki,11
us,11
społecznych,11
society,11
dziedzictwa,11
człowieka,11
chorób,11
zbrojnych,11
forum,11
do,11
transportu,10
pge,10
związek,10
kghm,10
wieku,10
europejska,10
przedsiębiorczości,10
warszawskiej,10
ekspertów,10
centre,10
studiów,10
komisję,10
gospodarczej,10
stowarzyszeniem,10
kontroli,10
żywności,10
europe,10
izby,10
sprawiedliwości,10
śląskiego,10
biblioteka,10
azoty,10
tauron,10
galeria,10
sztuk,9
kul,9
spółka,9
wojska,9
kolegium,9
service,9
roślin,9
business,9
jewish,9
system,9
polish,9
network,9
kościoła,9
parlamentu,9
orlen,9
izba,9
turystyki,9
politechniką,9
regionalnej,9
budownictwa,9
krakowie,9
katowice,9
sejmu,9
wydawnictwo,9
uł,9
klimatu,9
muzyki,9
technology,8
narodowy,8
innowacji,8
uz,8
trzeciego,8
międzynarodowych,8
gdańskiej,8
specjalnych,8
wojsk,8
ltd,8
gmbh,8
ministrów,8
państwowej,8
k,8
krajowa,8
politechnika,8
społecznego,8
europejski,8
generalna,8
państwowych,8
tvp3,8
energii,8
poznań,8
school,8
onz,8
marszałkowski,8
katedrę,8
biotechnologii,8
towarzystwem,8
fm,8
warszawa,8
polsko,8
pamięci,8
upp,8
grupę,8
krakowa,8
uo,8
inspektorat,8
uam,8
committee,8
dyrekcji,7
adama,7
mickiewicza,7
green,7
materiałowej,7
europejskie,7
ug,7
fundusz,7
publicznego,7
politycznych,7
sąd,7
ministerstwu,7
medical,7
foundation,7
um,7
medycznego,7
pomocy,7
regionów,7
dyrekcja,7
radiu,7
komitecie,7
architektury,7
pkp,7
global,7
up,7
sądu,7
współpracy,7
analiz,7
zarządu,7
straży,7
remontowa,7
zabytków,7
marszałkowskim,7
główny,7
publicznej,7
in,7
b,7
r,7
banku,7
wsi,7
pracownia,7
jakości,7
warszawskiego,7
filozofii,7
united,7
europy,7
leków,7
naukowej,7
śląskiej,7
psychologii,7
studium,7
techniki,7
zarząd,6
terytorialnego,6
elektrowni,6
służby,6
wrocław,6
dr,6
łódzkiej,6
college,6
london,6
narodowe,6
wewnętrznych,6
medycyny,6
ii,6
universität,6
muzycznej,6
j,6
u,6
dziecka,6
usa,6
wojewódzkiej,6
regionalnego,6
krajowego,6
inc,6
departament,6
funduszy,6
straż,6
archiwum,6
systemu,6
zielonogórskiego,6
wat,6
agency,6
onkologii,6
agencją,6
swps,6
america,6
inwestycji,6
państwowego,6
politechnikę,6
filmowej,6
wyższej,6
unesco,6
osób,6
rzeczypospolitej,6
wojewódzki,6
programowej,6
języka,6
lokalnych,6
warmińsko,6
p,6
marszałkowskiego,6
mediów,6
specjalnej,6
morskiego,6
językoznawstwa,6
kujawsko,6
konsorcjum,6
heritage,6
obserwatorium,6
głównego,6
wody,6
gdański,6
rzeczpospolitej,6
pomorskiego,6
if,6
uś,6
federacji,6
rolniczego,6
usług,6
morskich,5
info,5
development,5
generalnej,5
państwowe,5
międzynarodowego,5
grupie,5
lublin,5
rzeszowskiej,5
naukowego,5
zachód,5
pharmena,5
poradni,5
lubelskiego,5
episkopatu,5
council,5
art,5
infrastruktury,5
wojewódzkim,5
wzornictwa,5
inspekcji,5
plk,5
journal,5
kgp,5
collegium,5
organizacja,5
poznaniu,5
diagnostyki,5
szkolnictwa,5
państwowa,5
press,5
lasów,5
bezpieczeństwie,5
rehabilitacji,5
am,5
rzecznika,5
europejskim,5
szkół,5
pol,5
nad,5
międzynarodową,5
agh,5
żywienia,5
uczelni,5
generalną,5
und,5
komag,5
studia,5
lekarskiej,5
zielona,5
narodowa,5
pł,5
kliniki,5
dowództwo,5
morskiej,5
pkn,5
springer,5
pracodawców,5
company,5
gdańskiego,5
niemieckiej,5
uth,5
wojskowej,5
genetyki,5
wodnej,5
wojewódzkiego,5
planowania,5
informacji,5
wp,5
uk,5
wydziałem,5
solutions,5
gdańsk,5
ekonomii,5
rzeszowskiego,5
literatury,5
chemicznej,5
poznańskiej,5
lokalnej,5
sumienia,5
plant,5
problemów,5
finansów,5
zjednoczonych,5
umb,5
department,5
profilaktyki,5
przestrzennego,5
dystrybucja,5
medycznych,5
fund,5
technicznej,5
modelowania,5
ag,5
energia,5
kancelarii,5
komunikacji,5
orchestra,5
senatu,5
badania,5
world,5
lotos,5
terytorialnej,5
